t0,t0,t1,t1,t2,t2,t3,t3,t4,t4,t5,t5
component-1,component-2,component-1,component-2,component-1,component-2,component-1,component-2,component-1,component-2,component-1,component-2
0.19773975014686584,1.743619441986084,-0.3635430364311894,2.1526671378928284,-0.3226166005580114,1.5440223960052069,-0.20836240479179008,0.8707701370571657,-0.44351635773784814,0.6285027462977559,0.42347976414736166,0.12606436227975074
0.5068339705467224,2.336968183517456,0.24477503169361853,1.7323206415137027,-0.07418329660889245,1.4788501970432668,-0.567045703077077,1.2097168572934527,-0.28467557320518866,0.9292712363187453,-0.02796186588444203,-0.023761150801848274
-0.12643970549106598,2.1076607704162598,-0.7187177415039716,2.3251879007318212,-0.34136799047849725,0.9966324753987467,-0.5366468566945304,1.1583595747027728,-0.5257242798196069,0.264945858934976,-0.07624961247965055,-0.47574113781355043
0.06753865629434586,2.0971145629882812,0.9219867187509444,2.381443484866205,0.02828739544382211,1.3291183042651613,0.07568150867285767,0.9925619185912901,0.45674763251691936,0.6083877245884936,0.11286572955831077,-0.00921683720826492
-0.053823452442884445,1.3949470520019531,-0.8154256727998492,1.835424670978857,-1.2130594738502773,0.9911837413283384,-0.7669712824017989,1.169789137027207,-0.15726569462811865,0.2621536181632788,-0.2232640786687117,0.5766658816115765
-0.1972295641899109,2.5759968757629395,0.35686941068385997,0.9353705645030184,-0.045407971088838456,0.5718585395262767,0.20826199716799423,0.1641917361950354,-0.04443001471481161,0.03501136098014071,-0.22514314142810601,0.009646123750844029
0.007190242875367403,1.8167786598205566,0.12858717817024218,1.578560338950531,1.3263532293912195,0.26831752376870754,0.3915276313947671,-0.053663503266834604,0.12185849052298452,0.24224304262892887,0.24344479038361508,-0.10651444173567146
-0.6355021595954895,1.7691371440887451,0.0516713878332169,2.118541359523206,0.24880487052379469,0.9395481135093322,0.24183812775789992,1.1046690378652184,0.11686454849772143,0.45334311261784654,0.40728511697905884,-0.20898448313843415
-0.28513550758361816,2.4752981662750244,0.5164274947778151,2.1788942012828816,0.516143881723934,0.9236954834067793,-0.320919685683928,0.8662688781293901,-0.019639028573863123,0.504869478081754,-0.016489307320211716,-0.17677727427738857
-0.05248517915606499,2.146756172180176,-0.8021500125059352,1.8682980580820199,-0.4175897235989871,0.9512424709234288,-0.542016836280657,0.6043294718606019,-0.21363309218343682,1.1006974519766672,0.014996738148415638,-0.11570512356983391
-0.12760917842388153,2.242952823638916,-0.7048221503415185,0.6965746868021246,-0.5840133829200045,0.5642151748935378,-0.18031892168933697,0.503701508486715,-0.3774786222245707,0.22531072309536393,-0.20674502889180127,0.12701986611812616
-0.585772693157196,2.603837490081787,0.4934687518659006,1.015161393910966,0.8381833399830442,1.2074330417981847,0.36686021457894846,0.6504074258101974,0.05455368890827078,0.015174256238605015,-0.3162787029925468,0.03801720968399351
-0.39972159266471863,2.095003604888916,-1.1533125691572657,2.38858866507912,-0.7694141078394791,1.3040059772330674,-0.4948273191191202,1.0827981816933843,0.04945904028485756,0.8493086165300865,-0.1773519116053121,0.3312750916057943
-0.012664678506553173,1.4419684410095215,-0.225089011420988,1.8419523788428815,0.2788639672162735,1.4045391772837479,0.16636730844673173,0.7795902035809528,0.15781543983652738,0.037291843706334496,-0.6406459833266801,0.3895298744758371
-0.04585838317871094,2.6093642711639404,-0.7283926833765675,1.0571251566997744,-0.5334121886764106,1.124506990537862,-0.6305180769448417,0.7299295815329007,-0.32121842520144184,0.1615582602942117,0.26713456691144033,-0.28910400718619955
