t,component-1,component-2,sos
0.1,0.0,0.0,0.0
0.26012024048096194,0.0030721045455096387,0.002852789071872076,0.005924893617381737
0.4202404809619239,0.009040909937731528,0.008421989263634426,0.017462899201365987
0.5803607214428858,0.014817485416269018,0.013846219882282554,0.028663705298551542
0.7404809619238477,0.01907277481191175,0.017874291198502857,0.03694706601041461
0.9006012024048097,0.02159481062239086,0.020286266565895873,0.04188107718828659
1.0607214428857716,0.029100690112121037,0.028561354877723887,0.0576620449898451
1.2208416833667337,0.13108314873298432,0.13351187220150249,0.26459502093448645
1.3809619238476956,0.22005505147744447,0.22690844542509153,0.44696349690253584
1.5410821643286574,0.36435844993528765,0.3529815903504898,0.7173400402857761
1.7012024048096195,0.522161474517813,0.5196831054327449,1.041844579950555
1.8613226452905813,0.6565466868383303,0.6661250002684723,1.32267168710681
2.021442885771543,0.7290558950827399,0.7433659563232693,1.4724218514060068
2.181563126252505,0.2770505858815795,0.2729508121233805,0.5500013980049584
2.3416833667334673,0.2714768673457059,0.26714422142577754,0.5386210887714816
2.501803607214429,0.36876395207405327,0.3633444069187659,0.7321083589928181
2.661923847695391,0.5062414398694713,0.4974041383630678,1.0036455782325422
2.822044088176353,0.6939649551492064,0.6809590975374049,1.374924052686608
2.9821643286573147,0.8717347968169572,0.8670956665754121,1.7388304633923672
3.142284569138277,0.7896431991738412,0.7633028969431138,1.5529460961169548
3.302404809619239,0.6188507547922816,0.6009873924079148,1.2198381472001947
3.4625250501002007,0.59080477852133,0.5748215662182621,1.1656263447395867
3.6226452905811626,0.6657478223280611,0.6609052818348345,1.3266531041628935
3.7827655310621244,0.7867450553987668,0.7649111443563633,1.5516561997551317
3.9428857715430863,0.9370292763442322,0.9091448152001591,1.8461740915443905
4.103006012024048,1.0811841721110136,1.0705438024995735,2.1517279746105924
4.2631262525050095,1.0828481838813586,1.065129623263774,2.147977807145139
4.423246492985972,1.014775862053854,0.9955658166501556,2.010341678704011
4.583366733466934,1.0285946370292516,1.0185632194072731,2.0471578564365247
4.7434869739478955,1.0819263810781743,1.0726712468451132,2.1545976279232857
4.903607214428858,1.1833460190789589,1.161299560070138,2.3446455791491103
5.063727454909819,1.3315533441029053,1.3090960518719776,2.6406493959748754
5.2238476953907815,1.4496835612599273,1.414463040656997,2.864146601916922
5.383967935871744,1.4841370876296787,1.4409075201112005,2.9250446077408796
5.544088176352705,1.483863172408154,1.4331554015955255,2.9170185740036834
5.7042084168336675,1.5078685772037994,1.4917710370218535,2.999639614225653
5.864328657314629,1.5707005872699122,1.5642378942422588,3.134938481512159
6.024448897795591,1.66450963378861,1.6428848598855461,3.3073944936741655
6.1845691382765535,1.785227252553089,1.7530100160518864,3.5382372686049646
6.344689378757515,1.8943637490093679,1.8580750468204137,3.752438795829766
6.504809619238477,1.9590273462112608,1.9069700400041016,3.865997386215363
6.664929859719439,1.9967810194135625,1.951622431053695,3.9484034504672563
6.825050100200401,2.0431820006705825,2.0112523226737533,4.0544343233443305
6.985170340681363,2.1074165524812734,2.091640455058565,4.199057007539842
7.145290581162325,2.2100938069255087,2.184438541250425,4.394532348175917
7.305410821643287,2.3232823240237255,2.283385383181703,4.6066677072054425
7.465531062124248,2.4193797114550764,2.378947096393043,4.798326807848116
7.625651302605211,2.494777538586435,2.443729687198061,4.93850722578449
7.785771543086172,2.552634570723628,2.513887094923546,5.0665216656471985
7.945891783567134,2.614398400149466,2.580234659939931,5.194633060089388
8.106012024048097,2.6896940403243126,2.6493195547717434,5.339013595096037
8.266132264529059,2.781174190222104,2.749372619007947,5.530546809230053
8.42625250501002,2.8877862386822306,2.8490362472144644,5.736822485896689
8.586372745490982,2.9940439470071527,2.9387012868492723,5.932745233856427
8.746492985971944,3.0796933221588314,3.017260943195473,6.096954265354287
8.906613226452906,3.1303032622493028,3.065171875658007,6.195475137907314
9.066733466933869,3.2079871180733748,3.1612884311136074,6.36927554918699
9.22685370741483,3.3094814094143024,3.253661152921361,6.563142562335683
9.386973947895791,3.370148447398876,3.3608676644873485,6.731016111886232
9.547094188376754,3.4665057208360106,3.4465401354409297,6.913045856276931
9.707214428857716,3.579412393807793,3.53696967402104,7.116382067828819
9.867334669338678,3.6737191059055605,3.618836643448923,7.292555749354456
10.027454909819639,3.7357158735161384,3.6641555038335833,7.399871377349691
10.187575150300601,3.8296302340768897,3.7560826751124137,7.585712909189303
10.347695390781563,3.9082766244294644,3.8559074984190986,7.764184122848566
10.507815631262526,3.965398700963576,3.954769892925094,7.920168593888656
10.667935871743488,4.064962175301751,4.048768460160294,8.113730635462037
10.828056112224449,4.168888752008276,4.1344859736778306,8.303374725686158
10.98817635270541,4.265909321582489,4.223258059002722,8.489167380585195
11.148296593186373,4.3581271742041094,4.291222251046756,8.649349425250907
11.308416833667335,4.426331698058296,4.373436049329733,8.79976774738801
11.468537074148298,4.487113428575884,4.456831446304404,8.943944874880287
11.628657314629258,4.589467916850316,4.563593612845366,9.153061529695673
11.78877755511022,4.6518597768936525,4.672302503050611,9.324162279944252
11.948897795591183,4.773873182285166,4.746940813976209,9.520813996261348
12.109018036072145,4.842724863555109,4.8336382844888135,9.676363148043928
12.269138276553107,4.9701044011228115,4.905429345878461,9.875533747001285
12.429258517034068,5.056611340519056,4.992684524121471,10.049295864640568
12.58937875751503,5.125236858429369,5.095214729063332,10.220451587492683
12.749498997995993,5.1767424400396616,5.181181624846557,10.357924064886229
12.909619238476955,5.280538671698168,5.268828888281797,10.549367559980016
13.069739478957917,5.371979012052432,5.335803545973532,10.70778255802598
13.229859719438878,5.450245868056616,5.431306134354956,10.881552002411578
13.38997995991984,5.574031099956003,5.516280268942727,11.090311368898742
13.550100200400802,5.643883631250987,5.589523253343227,11.233406884594203
