t,component-1,component-2,sos
0.1,0.0,0.0,0.0
0.26012024048096194,0.0028775527843172854,0.0028877757702078,0.005765328554525101
0.4202404809619239,0.008506055603936925,0.008534770985063824,0.017040826589000763
0.5803607214428858,0.01400210826494677,0.014046946353215736,0.02804905461816266
0.7404809619238477,0.018096528543679546,0.018151596195808473,0.03624812473948794
0.9006012024048097,0.02055789873551352,0.020617834434751094,0.04117573317026441
1.0607214428857716,0.02779438303841973,0.028133274810734677,0.05592765784915449
1.2208416833667337,0.13063170565871027,0.13473234452114136,0.26536405017985226
1.3809619238476956,0.21347636384293345,0.21792388241539856,0.431400246258334
1.5410821643286574,0.35664361553855567,0.34686580355978613,0.7035094190983419
1.7012024048096195,0.5161312112230091,0.5160200143647171,1.0321512255877248
1.8613226452905813,0.6554702278354405,0.6691031820936669,1.324573409929105
2.021442885771543,0.7308451328171647,0.749491227592502,1.4803363604096689
2.181563126252505,0.2750743737998715,0.27482264904047776,0.5498970228403482
2.3416833667334673,0.27218983538575015,0.2670597789773137,0.5392496143630651
2.501803607214429,0.36220413843921145,0.3534357865028332,0.7156399249420486
2.661923847695391,0.5059171520877346,0.48196747111485555,0.9878846232025824
2.822044088176353,0.6897081915504717,0.6589991562774592,1.348707347827929
2.9821643286573147,0.8624979301747082,0.865673734873556,1.7281716650482708
3.142284569138277,0.7791683520461714,0.7720884504956531,1.551256802541819
3.302404809619239,0.6060639117873691,0.5954319583304336,1.2014958701178031
3.4625250501002007,0.5815447081173046,0.5646619421502179,1.1462066502675237
3.6226452905811626,0.6588943826402622,0.6386821090015837,1.297576491641843
3.7827655310621244,0.7820186064742676,0.7534227115044697,1.5354413179787432
3.9428857715430863,0.927390892119948,0.8926855155629777,1.8200764076829135
4.103006012024048,1.0620650106162632,1.0414658507879526,2.1035308614042028
4.2631262525050095,1.068009143628312,1.041193596874756,2.109202740503049
4.423246492985972,0.9958210723161428,0.9839971538391321,1.979818226155285
4.583366733466934,1.0002937642918828,0.9899804661776205,1.9902742304695202
4.7434869739478955,1.0593646787027602,1.0428083266152115,2.102173005317965
4.903607214428858,1.1690142771423109,1.1449197301077922,2.313934007250106
5.063727454909819,1.3017137141485953,1.2729463190070291,2.574660033155614
5.2238476953907815,1.4167741360903947,1.3809121822632515,2.7976863183536422
5.383967935871744,1.4639555000789246,1.4165538840686693,2.8805093841475897
5.544088176352705,1.4567596583383169,1.4237154881073113,2.88047514644563
5.7042084168336675,1.4880484088726396,1.4617418708879686,2.9497902797606073
5.864328657314629,1.550708767366848,1.5301122414151804,3.0808210087820185
6.024448897795591,1.6478698734856716,1.6207274864404027,3.268597359926071
6.1845691382765535,1.7617810802461957,1.7207718628151925,3.4825529430613873
6.344689378757515,1.8568001837861092,1.8185129790852694,3.6753131628713853
6.504809619238477,1.9151073580896474,1.8737416162054883,3.788848974295129
6.664929859719439,1.959980724928153,1.9218249377741479,3.8818056627023028
6.825050100200401,2.0043600244179904,1.9774978294671746,3.9818578538851552
6.985170340681363,2.0883983833033244,2.0445681805046823,4.132966563808013
7.145290581162325,2.174801635722747,2.1374724431522596,4.312274078875003
7.305410821643287,2.280956275821742,2.240603394103986,4.521559669925721
7.465531062124248,2.358754690592821,2.334378838573061,4.693133529165893
7.625651302605211,2.4324401208741406,2.404958790782444,4.837398911656589
7.785771543086172,2.505281795823523,2.4659676885535684,4.971249484377098
7.945891783567134,2.5704008254561477,2.5363915243237516,5.106792349779905
8.106012024048097,2.648164335213312,2.6112426807967246,5.25940701601006
8.266132264529059,2.7321241244964405,2.69290651398314,5.425030638479593
8.42625250501002,2.836866988411495,2.7908430865890037,5.627710075000476
8.586372745490982,2.9285784150460867,2.8949267334843025,5.823505148530389
8.746492985971944,2.98940808592992,2.9603955848514514,5.949803670781396
8.906613226452906,3.0693256457367553,3.0340107336344837,6.1033363793712425
9.066733466933869,3.1591498802818507,3.1135836820129965,6.272733562294859
9.22685370741483,3.239844282077876,3.1976750209004345,6.43751930297829
9.386973947895791,3.3359212390375053,3.284875194327369,6.6207964333648475
9.547094188376754,3.429819289956273,3.387272126409324,6.817091416365613
9.707214428857716,3.5270617756387095,3.4713941549911906,6.998455930629902
9.867334669338678,3.592363075038253,3.5535047950510563,7.145867870089304
10.027454909819639,3.6797946835610436,3.6294308030912603,7.309225486652326
10.187575150300601,3.755997871080566,3.711621665769568,7.46761953685015
10.347695390781563,3.8556461212601376,3.7941588577634784,7.649804979023644
10.507815631262526,3.937454629125241,3.8891895803954712,7.8266442095207225
10.667935871743488,4.024942206808723,3.9811843802033624,8.006126587012114
10.828056112224449,4.120588409897304,4.080058401235049,8.200646811132353
10.98817635270541,4.211578935024028,4.1601385142182075,8.371717449242224
11.148296593186373,4.288036219755275,4.232203612776524,8.520239832531798
11.308416833667335,4.362581004943086,4.325651468450353,8.688232473393489
11.468537074148298,4.442371311289546,4.405057569280419,8.847428880569947
11.628657314629258,4.534102753594712,4.502312636327888,9.036415389922626
11.78877755511022,4.637382644189704,4.587660010067795,9.225042654257502
11.948897795591183,4.738429256040483,4.671897265703486,9.410326521743963
12.109018036072145,4.82222857883646,4.7675988397504,9.589827418586887
12.269138276553107,4.893642323611024,4.856275310949113,9.749917634560129
12.429258517034068,4.960331940437725,4.938601669981017,9.898933610418757
12.58937875751503,5.041486927055267,5.002117480940637,10.043604407995971
12.749498997995993,5.113305729340981,5.08123371444065,10.194539443781583
12.909619238476955,5.22182153440423,5.176723356189599,10.398544890593799
13.069739478957917,5.325156547186698,5.2682641253765805,10.59342067256327
